tau,CFC11,CFC12,CFC113,SF6,He4_ter,H3_tu
25102,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25101,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25100,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25099,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25098,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25097,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25096,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25095,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25094,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25093,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25092,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25091,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25090,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25089,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25088,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25087,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25086,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25085,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25084,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25083,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25082,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25081,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25080,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25079,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25078,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25077,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25076,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25075,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25074,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25073,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25072,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25071,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25070,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25069,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25068,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25067,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25066,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25065,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25064,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25063,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25062,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25061,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25060,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25059,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25058,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25057,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25056,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25055,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25054,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25053,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25052,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25051,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25050,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25049,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25048,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25047,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25046,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25045,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25044,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25043,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25042,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25041,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25040,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25039,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25038,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25037,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25036,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25035,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25034,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25033,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25032,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25031,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25030,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25029,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25028,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25027,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25026,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25025,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25024,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25023,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25022,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25021,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25020,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25019,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25018,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25017,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25016,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25015,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25014,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25013,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25012,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25011,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25010,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25009,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25008,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25007,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25006,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25005,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25004,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25003,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25002,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25001,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25000,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24999,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24998,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24997,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24996,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24995,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24994,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24993,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24992,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24991,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24990,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24989,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24988,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24987,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24986,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24985,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24984,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24983,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24982,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24981,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24980,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24979,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24978,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24977,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24976,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24975,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24974,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24973,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24972,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24971,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24970,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24969,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24968,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24967,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24966,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24965,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24964,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24963,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24962,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24961,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24960,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24959,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24958,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24957,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24956,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24955,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24954,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24953,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24952,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24951,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24950,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24949,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24948,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24947,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24946,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24945,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24944,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24943,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24942,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24941,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24940,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24939,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24938,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24937,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24936,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24935,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24934,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24933,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24932,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
